bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1724234,2035,HB27,2,Engrossed,2023-07-06,"In preliminary provisions, further providing for Basic Education Funding Commission and for special provisions applicable to limited school years, establishing the Child Reunification Program in the Department of Education and providing for minimum number of days or hours, for public job posting database, for instructional vacancy data and for data transparency; in duties and powers of boards of school directors, further providing for additional schools and departments; in school finances, providing for school district budget timeline for 2024 and for procedure for securing approval of electors; in grounds and buildings, further providing for limitation on new applications for Department of Education approval of public school building projects; in school directors' associations and county boards of school directors, further providing for powers and duties; in intermediate units, further providing for visual services and for school safety and security enhancements; in professional employees, repealing provisions relating to religious garb, insignia, etc., prohibited and penalty; in certification of teachers, further providing for substitute teaching permit for prospective teachers, for locally issued temporary certification for substitute teachers and for permit for classroom monitors; providing for Educator Pipeline Support Grant Program; in pupils and attendance, further providing for compulsory education of physical defectives, for dependent children, for cost of tuition and maintenance of certain exceptional children in approved institutions, for payment of cost of tuition and maintenance of certain exceptional children, for transfer of funds for transferal programs and for children under six with defective hearing and parent or guardian advised of schools, etc.; in safe schools, further providing for definitions and for Office for Safe Schools, repealing provisions relating to regulations and to reporting, further providing for policy relating to bullying and for maintenance of records, repealing provisions relating to safe schools advocate in school districts of the first class, to standing, to enforcement and to construction of article and other laws; in school safety and security, further providing for definitions and for School Safety and Security Committee, providing for duties of committee, further providing for School Safety and Security Grant Program, providing for Targeted School Safety Grants for Nonpublic Schools and School Entities Program, for standardized protocols, for county safe schools' collaborative and for school mental health grants for 2023-2024 school year, further providing for school safety and security coordinator training and providing for reporting and memorandum of understanding, for safe schools advocate in school districts of the first class and for enforcement; in school security, further providing for definitions, for school police officers, for annual report and for school security guards; in school health services, further providing for dental examinations and dental hygiene services and providing for eating disorder awareness and education; in drug and alcohol recovery high school program, providing for enrollment of students; in terms and courses of study, providing for calculation of average daily membership for a dual credit course and further providing for Economic Education and Personal Financial Literacy Programs; in early learning programs, providing for quarterly meetings; in character education program, further providing for character education program; providing for the Dual Credit Innovation and Equity Grant Program; in high schools, further providing for attendance in other districts; in community colleges, further providing for financial program and reimbursement of payments; in educational tax credits, further providing for qualification and application by organizations, for limitations and for low-achieving schools; in school districts of the first class, further providing for qualifications of principals and teachers; in funding for public libraries, providing for State aid for fiscal year 2023-2024; in credit card marketing, further providing for regulation of on-campus credit card marketing; in reimbursements by Commonwealth and between school districts, further providing for definitions and for payments on account of pupils enrolled in career and technical curriculums, providing for Level-Up Supplement for 2022-2023 school year, further providing for payments on account of courses for exceptional children, for payments to intermediate units, for assistance to school districts declared to be in financial recovery status or identified for financial watch status, for payments, for payments on account of pupil transportation, for Ready-to-Learn Block Grant and for payment of required contribution for public school employees' Social Security; in construction and renovation of buildings by school entities, further providing for applicability; providing for School Environmental Repairs Program; abrogating a regulation; and making an editorial change.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in preliminary provisions, further providing for Basic Education Funding Commission and for special provisions applicable to limited school years, establishing the Child Reunification Program in the Department of Education and providing for minimum number of days or hours, for public job posting database, for instructional vacancy data and for data transparency; in duties and powers of boards of school directors, further providing for additional schools and departments; in school finances, providing for school district budget timeline for 2024 and for procedure for securing approval of electors; in grounds and buildings, further providing for limitation on new applications for Department of Education approval of public school building projects; in school directors' associations and county boards of school directors, further providing for powers and duties; in intermediate units, further providing for visual services and for school safety and security enhancements; in professional employees, repealing provisions relating to religious garb, insignia, etc., prohibited and penalty; in certification of teachers, further providing for substitute teaching permit for prospective teachers, for locally issued temporary certification for substitute teachers and for permit for classroom monitors; providing for Educator Pipeline Support Grant Program; in pupils and attendance, further providing for compulsory education of physical defectives, for dependent children, for cost of tuition and maintenance of certain exceptional children in approved institutions, for payment of cost of tuition and maintenance of certain exceptional children, for transfer of funds for transferal programs and for children under six with defective hearing and parent or guardian advised of schools, etc.; in safe schools, further providing for definitions and for Office for Safe Schools, repealing provisions relating to regulations and to reporting, further providing for policy relating to bullying and for maintenance of records, repealing provisions relating to safe schools advocate in school districts of the first class, to standing, to enforcement and to construction of article and other laws; in school safety and security, further providing for definitions and for School Safety and Security Committee, providing for duties of committee, further providing for School Safety and Security Grant Program, providing for Targeted School Safety Grants for Nonpublic Schools and School Entities Program, for standardized protocols, for county safe schools' collaborative and for school mental health grants for 2023-2024 school year, further providing for school safety and security coordinator training and providing for reporting and memorandum of understanding, for safe schools advocate in school districts of the first class and for enforcement; in school security, further providing for definitions, for school police officers, for annual report and for school security guards; in school health services, further providing for dental examinations and dental hygiene services and providing for eating disorder awareness and education; in drug and alcohol recovery high school program, providing for enrollment of students; in terms and courses of study, providing for calculation of average daily membership for a dual credit course and further providing for Economic Education and Personal Financial Literacy Programs; in early learning programs, providing for quarterly meetings; in character education program, further providing for character education program; providing for the Dual Credit Innovation and Equity Grant Program; in high schools, further providing for attendance in other districts; in community colleges, further providing for financial program and reimbursement of payments; in educational tax credits, further providing for qualification and application by organizations, for limitations and for low-achieving schools; in school districts of the first class, further providing for qualifications of principals and teachers; in funding for public libraries, providing for State aid for fiscal year 2023-2024; in credit card marketing, further providing for regulation of on-campus credit card marketing; in reimbursements by Commonwealth and between school districts, further providing for definitions and for payments on account of pupils enrolled in career and technical curriculums, providing for Level-Up Supplement for 2022-2023 school year, further providing for payments on account of courses for exceptional children, for payments to intermediate units, for assistance to school districts declared to be in financial recovery status or identified for financial watch status, for payments, for payments on account of pupil transportation, for Ready-to-Learn Block Grant and for payment of required contribution for public school employees' Social Security; in construction and renovation of buildings by school entities, further providing for applicability; providing for School Environmental Repairs Program; abrogating a regulation; and making an editorial change.",83,"Senate Rules & Executive Nominations",2023-10-16,"Referred to RULES AND EXECUTIVE NOMINATIONS",https://legiscan.com/PA/bill/HB27/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=27
1724072,2035,HB28,1,Introduced,2023-03-07,"In assault, further providing for the offense of aggravated assault.","An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in assault, further providing for the offense of aggravated assault.",53,"House Judiciary",2023-03-07,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB28/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=28
1723946,2035,HB29,1,Introduced,2023-03-07,"In powers, duties and rights of appointed officers and employees, further providing for definitions and for appointments of police and fire apparatus operators.","An Act amending Title 8 (Boroughs and Incorporated Towns) of the Pennsylvania Consolidated Statutes, in powers, duties and rights of appointed officers and employees, further providing for definitions and for appointments of police and fire apparatus operators.",59,"House State Government",2023-03-07,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB29/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=29
1724152,2035,HB30,1,Introduced,2023-03-07,"In duties and powers of boards of school directors, providing for broadcast of interscholastic athletic competitions.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in duties and powers of boards of school directors, providing for broadcast of interscholastic athletic competitions.",44,"House Education",2023-03-07,"Referred to EDUCATION",https://legiscan.com/PA/bill/HB30/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=30
1723824,2035,HB31,1,Introduced,2023-03-07,"In storm sewers and watercourses, further providing for authority of boroughs and for manner of financing work; providing for storm water management plans and facilities for incorporated towns; and, in watercourses, flood protection projects and storm water systems, further providing for establishing and changing watercourses, flood protection projects and storm water systems and for assessment of benefits and liens.","An Act amending Titles 8 (Boroughs and Incorporated Towns) and 11 (Cities) of the Pennsylvania Consolidated Statutes, in storm sewers and watercourses, further providing for authority of boroughs and for manner of financing work; providing for storm water management plans and facilities for incorporated towns; and, in watercourses, flood protection projects and storm water systems, further providing for establishing and changing watercourses, flood protection projects and storm water systems and for assessment of benefits and liens.",0,,2023-12-13,"Laid on the table",https://legiscan.com/PA/bill/HB31/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=31
1723785,2035,HB32,1,Introduced,2023-03-07,"Providing for storm water management plans and facilities.","An Act amending the act of June 24, 1931 (P.L.1206, No.331), known as The First Class Township Code, providing for storm water management plans and facilities.",0,,2023-12-13,"Laid on the table",https://legiscan.com/PA/bill/HB32/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=32
1724401,2035,HB33,1,Introduced,2023-03-07,"Amending the act of February 2, 1966 (1965 P.L.1860, No.586), entitled ""An act encouraging landowners to make land and water areas available to the public for recreational purposes by limiting liability in connection therewith, and repealing certain acts,"" further providing for definitions, for duty to keep premises safe and warning and for assurance of safe premises and duty of care and responsibility and liability.","An Act amending the act of February 2, 1966 (1965 P.L.1860, No.586), entitled ""An act encouraging landowners to make land and water areas available to the public for recreational purposes by limiting liability in connection therewith, and repealing certain acts,"" further providing for definitions, for duty to keep premises safe and warning and for assurance of safe premises and duty of care and responsibility and liability.",4869,"House Tourism and Economic and Recreational Development",2023-03-07,"Referred to TOURISM AND ECONOMIC AND RECREATIONAL DEVELOPMENT",https://legiscan.com/PA/bill/HB33/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=33
1724193,2035,HB34,1,Introduced,2023-03-07,"In subdivision and land development, providing for nonbuilding lots.","An Act amending the act of July 31, 1968 (P.L.805, No.247), known as the Pennsylvania Municipalities Planning Code, in subdivision and land development, providing for nonbuilding lots.",56,"House Local Government",2023-03-07,"Referred to LOCAL GOVERNMENT",https://legiscan.com/PA/bill/HB34/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=34
1723987,2035,HB35,1,Introduced,2023-03-07,"In rules of the road in general, further providing for additional parking regulations.","An Act amending Title 75 (Vehicles) of the Pennsylvania Consolidated Statutes, in rules of the road in general, further providing for additional parking regulations.",0,,2023-05-23,"Laid on the table",https://legiscan.com/PA/bill/HB35/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=35
1725913,2035,HB36,1,Introduced,2023-03-07,"In district election officers, further providing for election officers to be sworn; in dates of elections and primaries and special elections, further providing for affidavits of candidates; in nomination of candidates, further providing for petition may consist of several sheets and statement of circulator, for affidavits of candidates, for examination of nomination petitions, certificates and papers and return of rejected nomination petitions, certificates and papers, for vacancy in party nomination by failure to pay filing fee or for failure to file loyalty oath, for affidavits of candidates, for filling of certain vacancies in public office by means of nomination certificates and nomination papers and for substituted nominations to fill certain vacancies for a November election; in ballots, further providing for form of ballots and printing ballots; in returns of primaries and elections, further providing for manner of computing irregular ballots; and replacing references to ""justice of the peace"" with ""magisterial district judge.""","An Act amending the act of June 3, 1937 (P.L.1333, No.320), known as the Pennsylvania Election Code, in district election officers, further providing for election officers to be sworn; in dates of elections and primaries and special elections, further providing for affidavits of candidates; in nomination of candidates, further providing for petition may consist of several sheets and statement of circulator, for affidavits of candidates, for examination of nomination petitions, certificates and papers and return of rejected nomination petitions, certificates and papers, for vacancy in party nomination by failure to pay filing fee or for failure to file loyalty oath, for affidavits of candidates, for filling of certain vacancies in public office by means of nomination certificates and nomination papers and for substituted nominations to fill certain vacancies for a November election; in ballots, further providing for form of ballots and printing ballots; in returns of primaries and elections, further providing for manner of computing irregular ballots; and replacing references to ""justice of the peace"" with ""magisterial district judge.""",59,"House State Government",2023-03-07,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB36/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=36
1725230,2035,HB37,1,Introduced,2023-03-07,"In nomination of candidates, further providing for number of signers required for nomination petitions of candidates at primaries.","An Act amending the act of June 3, 1937 (P.L.1333, No.320), known as the Pennsylvania Election Code, in nomination of candidates, further providing for number of signers required for nomination petitions of candidates at primaries.",59,"House State Government",2023-03-07,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB37/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=37
1725184,2035,HB38,4,Passed,2023-12-14,"In licenses and regulations and liquor, alcohol and malt and brewed beverages, further providing for applications for hotel, restaurant and club liquor licenses and for application for distributors', importing distributors' and retail dispensers' licenses.","An Act amending the act of April 12, 1951 (P.L.90, No.21), known as the Liquor Code, in licenses and regulations and liquor, alcohol and malt and brewed beverages, further providing for applications for hotel, restaurant and club liquor licenses and for application for distributors', importing distributors' and retail dispensers' licenses.",0,,2023-12-14,"Act No. 45 of 2023",https://legiscan.com/PA/bill/HB38/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=38
1725209,2035,HB39,1,Introduced,2023-03-07,"In Pennsylvania Liquor Stores, further providing for sales by Pennsylvania Liquor Stores; and, in licenses and regulations and liquor, alcohol and malt and brewed beverages, further providing for malt and brewed beverages manufacturers', distributors' and importing distributors' licenses.","An Act amending the act of April 12, 1951 (P.L.90, No.21), known as the Liquor Code, in Pennsylvania Liquor Stores, further providing for sales by Pennsylvania Liquor Stores; and, in licenses and regulations and liquor, alcohol and malt and brewed beverages, further providing for malt and brewed beverages manufacturers', distributors' and importing distributors' licenses.",55,"House Liquor Control",2023-03-07,"Referred to LIQUOR CONTROL",https://legiscan.com/PA/bill/HB39/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=39
1725277,2035,HB40,1,Introduced,2023-03-07,"In dispositions independent of letters, family exemption and probate of wills and grant of letters, further providing for settlement of small estates on petition.","An Act amending Title 20 (Decedents, Estates and Fiduciaries) of the Pennsylvania Consolidated Statutes, in dispositions independent of letters, family exemption and probate of wills and grant of letters, further providing for settlement of small estates on petition.",53,"House Judiciary",2023-03-07,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB40/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=40
1725090,2035,HB41,1,Introduced,2023-03-07,"In distilleries, wineries, bonded warehouses, bailees for hire and transporters for hire, providing for transporters for hire.","An Act amending the act of April 12, 1951 (P.L.90, No.21), known as the Liquor Code, in distilleries, wineries, bonded warehouses, bailees for hire and transporters for hire, providing for transporters for hire.",55,"House Liquor Control",2023-03-07,"Referred to LIQUOR CONTROL",https://legiscan.com/PA/bill/HB41/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=41
1725161,2035,HB42,1,Introduced,2023-03-07,"In licenses of milk dealers, further providing for penalties in lieu of suspension; and, in weighing and testing, further providing for certified testers and for certified weighers and samplers.","An Act amending the act of April 28, 1937 (P.L.417, No.105), known as the Milk Marketing Law, in licenses of milk dealers, further providing for penalties in lieu of suspension; and, in weighing and testing, further providing for certified testers and for certified weighers and samplers.",0,,2024-09-23,"Laid on the table",https://legiscan.com/PA/bill/HB42/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=42
1725017,2035,HB43,1,Introduced,2023-03-07,"In child protective services, further providing for definitions.","An Act amending Title 23 (Domestic Relations) of the Pennsylvania Consolidated Statutes, in child protective services, further providing for definitions.",0,,2023-10-16,"Laid on the table",https://legiscan.com/PA/bill/HB43/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=43
1725040,2035,HB44,1,Introduced,2023-03-07,"Providing for improper payments; and providing for participation in Do-Not-Pay Initiative.","An Act amending Title 71 (State Government) of the Pennsylvania Consolidated Statutes, providing for improper payments; and providing for participation in Do-Not-Pay Initiative.",47,"House Finance",2023-03-07,"Referred to FINANCE",https://legiscan.com/PA/bill/HB44/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=44
1725066,2035,HB45,1,Introduced,2023-03-07,"In pupils and attendance, further providing for attendance policy at charter, regional charter and cyber charter schools.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in pupils and attendance, further providing for attendance policy at charter, regional charter and cyber charter schools.",44,"House Education",2023-03-07,"Referred to EDUCATION",https://legiscan.com/PA/bill/HB45/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=45
1725110,2035,HB46,1,Introduced,2023-03-07,"In adoption and enforcement by municipalities, further providing for administration and enforcement.","An Act amending the act of November 10, 1999 (P.L.491, No.45), known as the Pennsylvania Construction Code Act, in adoption and enforcement by municipalities, further providing for administration and enforcement.",1790,"House Labor And Industry",2023-03-07,"Referred to LABOR AND INDUSTRY",https://legiscan.com/PA/bill/HB46/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=46
1725136,2035,HB47,1,Introduced,2023-03-07,"In falsification and intimidation, further providing for failure to comply with 42 Pa.C.S. Ch. 97 Subch. I registration requirements; and, in sentencing, further providing for registration.","An Act amending Titles 18 (Crimes and Offenses) and 42 (Judiciary and Judicial Procedure) of the Pennsylvania Consolidated Statutes, in falsification and intimidation, further providing for failure to comply with 42 Pa.C.S. Ch. 97 Subch. I registration requirements; and, in sentencing, further providing for registration.",53,"House Judiciary",2023-03-07,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB47/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=47
1725299,2035,HB48,1,Introduced,2023-03-07,"In licenses and regulations and liquor, alcohol and malt and brewed beverages, further providing for shipment of wine.","An Act amending the act of April 12, 1951 (P.L.90, No.21), known as the Liquor Code, in licenses and regulations and liquor, alcohol and malt and brewed beverages, further providing for shipment of wine.",55,"House Liquor Control",2023-03-07,"Referred to LIQUOR CONTROL",https://legiscan.com/PA/bill/HB48/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=48
1724997,2035,HB49,1,Introduced,2023-03-07,"In powers and duties of the Department of State and its departmental administrative board, providing for artificial intelligence registry.","An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, in powers and duties of the Department of State and its departmental administrative board, providing for artificial intelligence registry.",41,"House Commerce",2023-03-07,"Referred to COMMERCE",https://legiscan.com/PA/bill/HB49/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=49
1725253,2035,HB50,1,Introduced,2023-03-07,"Repealing the act of June 5, 1937 (P.L.1656, No.344), entitled ""An act imposing an annual license tax for the privilege of operating, maintaining or controlling within this Commonwealth a store or stores, theatre or theatres, as herein defined; prescribing the method and manner of collecting such tax and its disposition, including an appropriation for the purpose of administering this act; and providing penalties.""","An Act repealing the act of June 5, 1937 (P.L.1656, No.344), entitled ""An act imposing an annual license tax for the privilege of operating, maintaining or controlling within this Commonwealth a store or stores, theatre or theatres, as herein defined; prescribing the method and manner of collecting such tax and its disposition, including an appropriation for the purpose of administering this act; and providing penalties.""",47,"House Finance",2023-03-07,"Referred to FINANCE",https://legiscan.com/PA/bill/HB50/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=50
1725820,2035,HB51,1,Introduced,2023-03-07,"In dates of elections and primaries and special elections, further providing for general primary and candidates to be nominated and party officers to be elected.","An Act amending the act of June 3, 1937 (P.L.1333, No.320), known as the Pennsylvania Election Code, in dates of elections and primaries and special elections, further providing for general primary and candidates to be nominated and party officers to be elected.",59,"House State Government",2023-03-07,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB51/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=51
1725487,2035,HB52,1,Introduced,2023-03-07,"Providing for the Career and Technical Education Investment Incentive Program.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, providing for the Career and Technical Education Investment Incentive Program.",47,"House Finance",2023-03-07,"Referred to FINANCE",https://legiscan.com/PA/bill/HB52/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=52
1725770,2035,HB53,1,Introduced,2023-03-07,"In public assistance, further providing for verification of eligibility.","An Act amending the act of June 13, 1967 (P.L.31, No.21), known as the Human Services Code, in public assistance, further providing for verification of eligibility.",1809,"House Health",2023-03-07,"Referred to HEALTH",https://legiscan.com/PA/bill/HB53/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=53
1725563,2035,HB54,1,Introduced,2023-03-07,"A Joint Resolution proposing an amendment to the Constitution of the Commonwealth of Pennsylvania, further providing for tenure of justices, judges and justices of the peace.","A Joint Resolution proposing an amendment to the Constitution of the Commonwealth of Pennsylvania, further providing for tenure of justices, judges and justices of the peace.",53,"House Judiciary",2023-03-07,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB54/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=54
1725354,2035,HB55,1,Introduced,2023-03-07,"Providing for the leasing of subsurface rights on State forest and park property for oil and natural gas development; establishing a restricted account within the Oil and Gas Lease Fund; making an appropriation; and abrogating an executive order and other orders and administrative policies.","An Act providing for the leasing of subsurface rights on State forest and park property for oil and natural gas development; establishing a restricted account within the Oil and Gas Lease Fund; making an appropriation; and abrogating an executive order and other orders and administrative policies.",45,"House Environmental Resources & Energy",2023-03-07,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY",https://legiscan.com/PA/bill/HB55/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=55
