bill_id,date,chamber,sequence,action
1646085,2024-06-05,House,17,"Third consideration and final passage (201-1)"
1646085,2024-06-05,Senate,18,"In the Senate"
1646085,2024-06-10,Senate,19,"Referred to RULES AND EXECUTIVE NOMINATIONS"
1646085,2024-06-10,Senate,20,"Re-reported on concurrence, as committed"
1646085,2024-06-11,Senate,21,"Senate concurred in House amendments (49-0)"
1646085,2024-06-11,Senate,22,"Signed in Senate"
1646085,2024-06-12,Senate,23,"Signed in House"
1646085,2024-06-12,Senate,24,"Presented to the Governor"
1646085,2024-06-17,Senate,25,"Approved by the Governor"
1646085,2024-06-17,Senate,26,"Act No. 27 of 2024"
1646197,2023-01-09,Senate,1,"Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS"
1646197,2023-01-10,Senate,2,"Reported as committed"
1646197,2023-01-10,Senate,3,"First consideration"
1646197,2023-01-11,Senate,4,"Second consideration"
1646197,2023-01-11,Senate,5,"Re-referred to APPROPRIATIONS"
1646197,2023-01-18,Senate,6,"Re-reported as committed"
1646197,2023-01-18,Senate,7,"Third consideration and final passage (49-0)"
1646197,2023-01-18,House,8,"In the House"
1646197,2023-03-07,House,9,"Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS"
1646197,2023-06-26,House,10,"Reported as committed"
1646197,2023-06-26,House,11,"First consideration"
1646197,2023-06-26,House,12,"Laid on the table"
1646197,2023-10-02,House,13,"Removed from table"
1646197,2023-10-03,House,14,"Second consideration"
1646197,2023-10-03,House,15,"Re-referred to APPROPRIATIONS"
1646197,2023-10-04,House,16,"Re-reported as committed"
1646197,2023-10-04,House,17,"Third consideration and final passage (200-3)"
1646197,2023-10-16,House,18,"Signed in Senate"
1646197,2023-10-17,House,19,"Signed in House"
1646197,2023-10-18,House,20,"Presented to the Governor"
1646197,2023-10-23,House,21,"Approved by the Governor"
1646197,2023-10-23,House,22,"Act No. 16 of 2023"
1646312,2023-01-09,Senate,1,"Referred to EDUCATION"
1646312,2023-01-10,Senate,2,"Reported as committed"
1646312,2023-01-10,Senate,3,"First consideration"
1646312,2023-01-11,Senate,4,"Second consideration"
1646312,2023-01-11,Senate,5,"Re-referred to APPROPRIATIONS"
1646312,2023-01-18,Senate,6,"Re-reported as committed"
1646312,2023-01-18,Senate,7,"Third consideration and final passage (49-0)"
1646312,2023-01-18,House,8,"In the House"
1646312,2023-03-07,House,9,"Referred to EDUCATION"
1646312,2023-04-24,House,10,"Reported with request to re-refer to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS"
1646312,2023-04-24,House,11,"Re-referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS"
1646312,2023-10-31,House,12,"Reported as amended"
1646312,2023-10-31,House,13,"First consideration"
1646312,2023-10-31,House,14,"Laid on the table"
1646317,2023-01-09,Senate,1,"Introduced and adopted (49-0)"
1646583,2023-01-09,Senate,1,"Referred to STATE GOVERNMENT"
1648873,2023-01-09,Senate,1,"Referred to CONSUMER PROTECTION AND PROFESSIONAL LICENSURE"
1648873,2023-01-18,Senate,2,"Reported as committed"
1648873,2023-01-18,Senate,3,"First consideration"
1648873,2023-03-01,Senate,4,"Laid on the table"
1648873,2024-09-30,Senate,5,"Removed from table"
1648873,2024-09-30,Senate,6,"Second consideration"
1648873,2024-09-30,Senate,7,"Re-referred to APPROPRIATIONS"
1648873,2024-10-01,Senate,8,"Re-reported as committed"
1648873,2024-10-01,Senate,9,"Third consideration and final passage (48-0)"
1648873,2024-10-01,House,10,"In the House"
1648873,2024-10-02,House,11,"Referred to CONSUMER PROTECTION, TECHNOLOGY AND UTILITIES"
1648873,2024-10-07,House,12,"Reported as committed"
1648873,2024-10-07,House,13,"First consideration"
1648873,2024-10-07,House,14,"Laid on the table"
1648873,2024-10-21,House,15,"Removed from table"
1648873,2024-10-22,House,16,"Second consideration"
1648873,2024-10-22,House,17,"Re-referred to APPROPRIATIONS"
1648873,2024-10-22,House,18,"Amended in House Committee on APPROPRIATIONS"
1648873,2024-10-23,House,19,"Re-reported as amended"
1648873,2024-10-23,House,20,"Third consideration and final passage (202-0)"
1648873,2024-10-23,Senate,21,"In the Senate"
1648873,2024-10-23,Senate,22,"Referred to RULES AND EXECUTIVE NOMINATIONS"
1650470,2023-01-10,Senate,1,"Introduced and adopted"
1650848,2023-01-10,Senate,1,"Introduced and adopted"
1652160,2023-01-11,Senate,1,Introduced
1652160,2023-01-11,Senate,2,"Considered, not withstanding Senate Rule 25 (28-20)"
1652160,2023-01-11,Senate,3,"Adopted (28-20)"
1655544,2023-01-10,Senate,1,"Introduced and adopted"
1655745,2023-01-12,Senate,1,"Referred to LABOR AND INDUSTRY"
1655995,2023-01-12,Senate,1,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY"
1657023,2023-01-12,Senate,1,"Referred to TRANSPORTATION"
1657083,2023-01-12,Senate,1,"Referred to FINANCE"
1657139,2023-01-12,Senate,1,"Referred to EDUCATION"
1657139,2023-05-02,Senate,2,"Reported as amended"
1657139,2023-05-02,Senate,3,"First consideration"
1657139,2023-05-08,Senate,4,"Second consideration"
1657139,2023-05-08,Senate,5,"Re-referred to APPROPRIATIONS"
1657202,2023-01-12,Senate,1,"Referred to FINANCE"
1657258,2023-01-12,Senate,1,"Referred to JUDICIARY"
1657317,2023-01-12,Senate,1,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY"
1657317,2023-01-18,Senate,2,"Reported as committed"
1657317,2023-01-18,Senate,3,"First consideration"
1657317,2023-02-27,Senate,4,"Second consideration"
1657317,2023-02-27,Senate,5,"Re-referred to APPROPRIATIONS"
1657317,2023-02-28,Senate,6,"Re-reported as committed"
1657317,2023-02-28,Senate,7,"Third consideration and final passage (49-0)"
1657317,2023-02-28,House,8,"In the House"
1657317,2023-03-07,House,9,"Referred to TRANSPORTATION"
1657317,2023-06-05,House,10,"Reported as committed"
1657317,2023-06-05,House,11,"First consideration"
1657317,2023-06-05,House,12,"Laid on the table"
1657317,2024-03-18,House,13,"Removed from table"
1657317,2024-03-19,House,14,"Second consideration"
1657317,2024-03-19,House,15,"Re-referred to APPROPRIATIONS"
1657317,2024-03-20,House,16,"Re-reported as committed"
1657317,2024-03-20,House,17,"Third consideration and final passage (200-1)"
1657317,2024-04-08,House,18,"Signed in Senate"
1657317,2024-03-20,House,19,"Signed in House"
1657317,2024-04-09,House,20,"Presented to the Governor"
1657317,2024-04-15,House,21,"Approved by the Governor"
1657317,2024-04-15,House,22,"Act No. 9 of 2024"
1657378,2023-01-12,Senate,1,"Referred to HEALTH AND HUMAN SERVICES"
1657435,2023-01-12,Senate,1,"Referred to AGRICULTURE AND RURAL AFFAIRS"
1657435,2024-06-24,Senate,2,"Reported as amended"
1657435,2024-06-24,Senate,3,"First consideration"
1657435,2024-06-25,Senate,4,"Second consideration"
1657435,2024-06-25,Senate,5,"Re-referred to APPROPRIATIONS"
1657435,2024-06-26,Senate,6,"Re-reported as committed"
1657435,2024-06-26,Senate,7,"Third consideration and final passage (50-0)"
1657435,2024-06-26,House,8,"In the House"
1657435,2024-06-27,House,9,"Referred to AGRICULTURE AND RURAL AFFAIRS"
1657435,2024-06-28,House,10,"Reported as committed"
1657435,2024-06-28,House,11,"First consideration"
1657435,2024-06-28,House,12,"Laid on the table"
1657435,2024-06-28,House,13,"Removed from table"
1657435,2024-07-01,House,14,"Second consideration, with amendments"
1657435,2024-07-01,House,15,"Re-referred to APPROPRIATIONS"
1657435,2024-07-02,House,16,"Re-reported as committed"
1657435,2024-07-02,House,17,"Third consideration and final passage (201-0)"
1657435,2024-07-02,Senate,18,"In the Senate"
1657435,2024-07-03,Senate,19,"Referred to RULES AND EXECUTIVE NOMINATIONS"
1657435,2024-07-03,Senate,20,"Re-reported on concurrence, as committed"
1657435,2024-07-03,Senate,21,"Senate concurred in House amendments (49-0)"
1657435,2024-07-03,Senate,22,"Signed in Senate"
1657435,2024-07-03,Senate,23,"Signed in House"
1657435,2024-07-03,Senate,24,"Presented to the Governor"
1657435,2024-07-08,Senate,25,"Approved by the Governor"
1657435,2024-07-08,Senate,26,"Act No. 47 of 2024"
1657494,2023-01-12,Senate,1,"Referred to LABOR AND INDUSTRY"
1657554,2023-01-12,Senate,1,"Referred to FINANCE"
1657610,2023-01-12,Senate,1,"Referred to COMMUNICATIONS AND TECHNOLOGY"
1657610,2024-04-30,Senate,2,"Reported as amended"
1657610,2024-04-30,Senate,3,"First consideration"
1657610,2024-05-01,Senate,4,"Second consideration"
1657610,2024-05-01,Senate,5,"Re-referred to APPROPRIATIONS"
1657663,2023-01-12,Senate,1,"Referred to LOCAL GOVERNMENT"
1660612,2023-01-17,Senate,1,"Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS"
1660612,2023-03-01,Senate,2,"Reported as committed"
1660612,2023-03-01,Senate,3,"First consideration"
1660612,2023-03-06,Senate,4,"Second consideration"
1660612,2023-03-06,Senate,5,"Re-referred to APPROPRIATIONS"
1660612,2023-03-08,Senate,6,"Re-reported as committed"
1660612,2023-03-08,Senate,7,"Third consideration and final passage (49-0)"
1660612,2023-03-08,House,8,"In the House"
1660612,2023-03-08,House,9,"Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS"
1660612,2023-10-31,House,10,"Reported as amended"
1660612,2023-10-31,House,11,"First consideration"
1660612,2023-10-31,House,12,"Laid on the table"
1665489,2023-01-18,Senate,1,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY"
1665553,2023-01-18,Senate,1,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY"
1665620,2023-01-18,Senate,1,"Referred to TRANSPORTATION"
1665684,2023-01-18,Senate,1,"Referred to URBAN AFFAIRS AND HOUSING"
1665752,2023-01-18,Senate,1,"Referred to FINANCE"
1665816,2023-01-18,Senate,1,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY"
1665882,2023-01-18,Senate,1,"Referred to LABOR AND INDUSTRY"
1665946,2023-01-18,Senate,1,"Referred to STATE GOVERNMENT"
1666014,2023-01-18,Senate,1,"Referred to URBAN AFFAIRS AND HOUSING"
1666079,2023-01-18,Senate,1,"Referred to LABOR AND INDUSTRY"
1666147,2023-01-18,Senate,1,"Referred to FINANCE"
1666211,2023-01-18,Senate,1,"Referred to FINANCE"
1666270,2023-01-18,Senate,1,"Referred to LABOR AND INDUSTRY"
1666339,2023-01-18,Senate,1,"Referred to LABOR AND INDUSTRY"
1666339,2023-06-07,Senate,2,"Reported as amended"
1666339,2023-06-07,Senate,3,"First consideration"
1666339,2023-06-22,Senate,4,"Second consideration"
1666339,2023-06-22,Senate,5,"Re-referred to APPROPRIATIONS"
1666339,2023-10-02,Senate,6,"Re-reported as committed"
1666339,2023-10-03,Senate,7,"Third consideration and final passage (29-19)"
1666339,2023-10-03,House,8,"In the House"
1666339,2023-10-03,House,9,"Referred to LABOR AND INDUSTRY"
1666396,2023-01-18,Senate,1,"Referred to JUDICIARY"
1666451,2023-01-18,Senate,1,"Referred to STATE GOVERNMENT"
1666511,2023-01-18,Senate,1,"Referred to JUDICIARY"
1666567,2023-01-18,Senate,1,"Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS"
1666625,2023-01-18,Senate,1,"Referred to LAW AND JUSTICE"
1666679,2023-01-18,Senate,1,"Referred to HEALTH AND HUMAN SERVICES"
1666742,2023-01-18,Senate,1,"Referred to EDUCATION"
1666796,2023-01-18,Senate,1,"Referred to CONSUMER PROTECTION AND PROFESSIONAL LICENSURE"
1666854,2023-01-18,Senate,1,"Referred to JUDICIARY"
1666915,2023-01-18,Senate,1,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY"
1666970,2023-01-18,Senate,1,"Referred to LAW AND JUSTICE"
1667025,2023-01-18,Senate,1,"Referred to CONSUMER PROTECTION AND PROFESSIONAL LICENSURE"
1667080,2023-01-18,Senate,1,"Referred to LABOR AND INDUSTRY"
1667142,2023-01-18,Senate,1,"Referred to LABOR AND INDUSTRY"
1667198,2023-01-18,Senate,1,"Referred to LABOR AND INDUSTRY"
1667254,2023-01-18,Senate,1,"Referred to TRANSPORTATION"
1667312,2023-01-18,Senate,1,"Referred to JUDICIARY"
1667368,2023-01-18,Senate,1,"Referred to JUDICIARY"
1667426,2023-01-18,Senate,1,"Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS"
1667426,2023-04-26,Senate,2,"Reported as amended"
1667426,2023-04-26,Senate,3,"First consideration"
1667426,2023-05-01,Senate,4,"Second consideration"
1667426,2023-05-01,Senate,5,"Re-referred to APPROPRIATIONS"
1667426,2023-06-22,Senate,6,"Re-reported as committed"
1667426,2023-06-27,Senate,7,"Third consideration and final passage (49-0)"
1667426,2023-06-27,House,8,"In the House"
1667426,2023-06-28,House,9,"Referred to HUMAN SERVICES"
1667481,2023-01-18,Senate,1,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY"
1667529,2023-01-18,Senate,1,"Referred to LAW AND JUSTICE"
1667529,2024-06-26,Senate,2,"Reported as committed"
1667529,2024-06-26,Senate,3,"First consideration"
1667529,2024-09-17,Senate,4,"Laid on the table (Pursuant to Senate Rule 9)"
1668741,2023-01-19,Senate,1,"Referred to JUDICIARY"
1668755,2023-01-19,Senate,1,"Referred to APPROPRIATIONS"
1668773,2023-01-19,Senate,1,"Referred to RULES AND EXECUTIVE NOMINATIONS"
1668789,2023-01-19,Senate,1,"Referred to AGING AND YOUTH"
1668789,2023-03-07,Senate,2,"Reported as amended"
1668789,2023-03-07,Senate,3,"First consideration"
1668789,2023-03-08,Senate,4,"Second consideration"
1668789,2023-03-08,Senate,5,"Re-referred to APPROPRIATIONS"
1668789,2023-04-24,Senate,6,"Re-reported as committed"
1668789,2023-04-26,Senate,7,"Third consideration and final passage (50-0)"
1668789,2023-04-26,House,8,"In the House"
1668789,2023-04-28,House,9,"Referred to AGING AND OLDER ADULT SERVICES"
1668809,2023-01-19,Senate,1,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY"
1668828,2023-01-19,Senate,1,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY"
1668828,2023-05-10,Senate,2,"Reported as committed"
1668828,2023-05-10,Senate,3,"First consideration"
1668828,2023-06-06,Senate,4,"Second consideration"
1668828,2023-06-06,Senate,5,"Re-referred to APPROPRIATIONS"
1668828,2023-06-20,Senate,6,"Re-reported as committed"
1668828,2023-06-21,Senate,7,"Third consideration and final passage (28-22)"
1668828,2023-06-21,House,8,"In the House"
1668828,2023-06-22,House,9,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY"
1668846,2023-01-19,Senate,1,"Referred to STATE GOVERNMENT"
1668865,2023-01-19,Senate,1,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY"
1668865,2023-02-27,Senate,2,"Reported as committed"
1668865,2023-02-27,Senate,3,"First consideration"
1668865,2023-02-28,Senate,4,"Second consideration"
1668865,2023-02-28,Senate,5,"Re-referred to APPROPRIATIONS"
1668865,2023-03-01,Senate,6,"Re-reported as committed"
1668865,2023-03-06,Senate,7,"Amended on third consideration (50-0)"
1668865,2023-03-07,Senate,8,"Third consideration and final passage (36-14)"
1668865,2023-03-07,House,9,"In the House"
1668865,2023-03-08,House,10,"Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS"
1668865,2024-10-02,House,11,"Reported as amended"
1668865,2024-10-02,House,12,"First consideration"
1668865,2024-10-02,House,13,"Laid on the table"
1668865,2024-10-02,House,14,"Removed from table"
1668888,2023-01-19,Senate,1,"Referred to FINANCE"
1668908,2023-01-19,Senate,1,"Referred to LABOR AND INDUSTRY"
1668926,2023-01-19,Senate,1,"Referred to JUDICIARY"
1668945,2023-01-19,Senate,1,"Referred to LAW AND JUSTICE"
1668967,2023-01-19,Senate,1,"Referred to JUDICIARY"
1668984,2023-01-19,Senate,1,"Referred to GAME AND FISHERIES"
1668984,2023-05-02,Senate,2,"Reported as committed"
1668984,2023-05-02,Senate,3,"First consideration"
1668984,2023-05-09,Senate,4,"Re-referred to RULES AND EXECUTIVE NOMINATIONS"
1668984,2023-06-26,Senate,5,"Re-reported as committed"
1668984,2023-06-27,Senate,6,"Second consideration"
1668984,2023-06-27,Senate,7,"Re-referred to APPROPRIATIONS"
1668984,2023-06-28,Senate,8,"Re-reported as committed"
1668984,2023-06-30,Senate,9,"Third consideration and final passage (50-0)"
1668984,2023-06-30,House,10,"In the House"
1668984,2023-07-05,House,11,"Referred to GAME AND FISHERIES"
1668984,2023-10-02,House,12,"Reported as committed"
1668984,2023-10-02,House,13,"First consideration"
1668984,2023-10-02,House,14,"Laid on the table"
1668984,2023-12-12,House,15,"Removed from table"
1668984,2023-12-13,House,16,"Second consideration"
1668984,2023-12-13,House,17,"Re-referred to APPROPRIATIONS"
1668984,2024-03-18,House,18,"Re-reported as committed"
1668984,2024-03-18,House,19,"Third consideration and final passage (201-0)"
1668984,2024-03-18,House,20,"Signed in Senate"
1668984,2024-03-19,House,21,"Signed in House"
1668984,2024-03-20,House,22,"Presented to the Governor"
1668984,2024-03-28,House,23,"Approved by the Governor"
1668984,2024-03-28,House,24,"Act No. 1 of 2024"
1669009,2023-01-19,Senate,1,"Referred to LOCAL GOVERNMENT"
1669025,2023-01-19,Senate,1,"Referred to STATE GOVERNMENT"
1669025,2023-09-19,Senate,2,"Reported as committed"
1669025,2023-09-19,Senate,3,"First consideration"
1669025,2023-10-25,Senate,4,"Laid on the table (Pursuant to Senate Rule 9)"
1669046,2023-01-19,Senate,1,"Referred to JUDICIARY"
1669061,2023-01-19,Senate,1,"Referred to FINANCE"
1669061,2024-05-01,Senate,2,"Reported as committed"
1669061,2024-05-01,Senate,3,"First consideration"
1669061,2024-05-08,Senate,4,"Second consideration"
1669061,2024-05-08,Senate,5,"Re-referred to APPROPRIATIONS"
1669084,2023-01-19,Senate,1,"Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS"
1669084,2023-04-26,Senate,2,"Reported as amended"
1669084,2023-04-26,Senate,3,"First consideration"
1669084,2023-05-01,Senate,4,"Re-referred to APPROPRIATIONS"
1669084,2023-05-08,Senate,5,"Corrective Reprint, Printer's No. 719"
1669104,2023-01-19,Senate,1,"Referred to TRANSPORTATION"
1669121,2023-01-19,Senate,1,"Referred to TRANSPORTATION"
1669121,2023-04-26,Senate,2,"Reported as committed"
1669121,2023-04-26,Senate,3,"First consideration"
1669121,2023-05-02,Senate,4,"Second consideration"
1669121,2023-06-19,Senate,5,"Laid on the table (Pursuant to Senate Rule 9)"
1669121,2024-09-16,Senate,6,"Removed from table"
1669121,2024-09-30,Senate,7,"Amended on third consideration (31-17)"
1669121,2024-10-01,Senate,8,"Third consideration and final passage (34-14)"
1669121,2024-10-01,House,9,"In the House"
1669121,2024-10-02,House,10,"Referred to AGRICULTURE AND RURAL AFFAIRS"
1669140,2023-01-19,Senate,1,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY"
1669140,2023-05-10,Senate,2,"Reported as committed"
1669140,2023-05-10,Senate,3,"First consideration"
1669140,2023-06-06,Senate,4,"Second consideration"
1669140,2023-06-06,Senate,5,"Re-referred to APPROPRIATIONS"
1669140,2023-06-20,Senate,6,"Re-reported as committed"
1669140,2023-06-20,Senate,7,"Amended on third consideration (28-22)"
1669140,2023-06-21,Senate,8,"Third consideration and final passage (28-22)"
1669140,2023-06-21,House,9,"In the House"
1669140,2023-06-22,House,10,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY"
1669163,2023-01-19,Senate,1,"Referred to INTERGOVERNMENTAL OPERATIONS"
1669163,2023-03-08,Senate,2,"Reported as committed"
1669163,2023-03-08,Senate,3,"First consideration"
1669163,2023-04-24,Senate,4,"Second consideration"
1669163,2023-04-24,Senate,5,"Re-referred to APPROPRIATIONS"
1669163,2023-05-08,Senate,6,"Re-reported as committed"
1669163,2023-05-09,Senate,7,"Third consideration and final passage (28-21)"
1669163,2023-05-09,House,8,"In the House"
1669163,2023-05-22,House,9,"Referred to STATE GOVERNMENT"
1669184,2023-01-19,Senate,1,"Referred to STATE GOVERNMENT"
1669202,2023-01-19,Senate,1,"Referred to RULES AND EXECUTIVE NOMINATIONS"
1669223,2023-01-19,Senate,1,"Referred to LAW AND JUSTICE"
