bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1657435,1462117,2024-07-01,House,"House Floor: SB 82 PN 1768, 2023 A5313",100,102,0,1,203
1657435,1462118,2024-07-01,House,"House Floor: SB 82 PN 1768, 2023 A5335",202,0,0,1,203
1657435,1462160,2024-07-02,House,"House Floor: SB 82 PN 1798, FINAL PASSAGE",201,0,0,2,203
1657435,1462161,2024-07-02,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1657435,1462385,2024-07-03,Senate,"Senate Rules And Executive Nominations: Re-Reported as Committed",17,0,0,0,17
1657435,1462419,2024-07-03,Senate,"Senate Floor: SB 82 PN 1798, Concur in House Amendments",49,0,0,1,50
1657610,1436342,2024-04-30,Senate,"Senate Communications And Technology: Reported as Amended",7,4,0,0,11
1657610,1436343,2024-04-30,Senate,"Senate Communications And Technology: Adopt Amendment A04170",7,4,0,0,11
1660612,1264870,2023-03-01,Senate,"Senate Veterans Affairs And Emergency Preparedness: Reported as Committed",11,0,0,0,11
1660612,1271124,2023-03-08,Senate,"Senate Floor: SB 162 PN 43, Final Passage",49,0,0,1,50
1660612,1271125,2023-03-08,Senate,"Senate Appropriations: Re-Reported as Committed",24,0,0,0,24
1660612,1356724,2023-10-31,House,"House Veterans Affairs And Emergency Preparedness: Adopt Amendment A02807",25,0,0,0,25
1660612,1356725,2023-10-31,House,"House Veterans Affairs And Emergency Preparedness: Report Bill As Amended",25,0,0,0,25
1666339,1340672,2023-06-07,Senate,"Senate Labor And Industry: Reported as Amended",7,4,0,0,11
1666339,1340673,2023-06-07,Senate,"Senate Labor And Industry: Adopt Amendment A00816",10,1,0,0,11
1666339,1355464,2023-10-02,Senate,"Senate Appropriations: Re-Reported as Committed",14,9,1,0,24
1666339,1355542,2023-10-03,Senate,"Senate Floor: SB 69 PN 858, Final Passage",29,19,0,2,50
1667426,1310783,2023-04-26,Senate,"Senate Veterans Affairs And Emergency Preparedness: Adopt Amendment A00332",11,0,0,0,11
1667426,1310784,2023-04-26,Senate,"Senate Veterans Affairs And Emergency Preparedness: Reported as Amended",11,0,0,0,11
1667426,1346886,2023-06-22,Senate,"Senate Appropriations: Re-Reported as Committed",24,0,0,0,24
1667426,1347715,2023-06-27,Senate,"Senate Floor: SB 81 PN 652, Final Passage",49,0,0,1,50
1667529,1460204,2024-06-26,Senate,"Senate Law And Justice: Reported as Committed",6,5,0,0,11
1668789,1270006,2023-03-07,Senate,"Senate Aging And Youth: Reported as Amended A00162",11,0,0,0,11
1668789,1308504,2023-04-24,Senate,"Senate Appropriations: Re-Reported as Committed",24,0,0,0,24
1668789,1310983,2023-04-26,Senate,"Senate Floor: SB 137 PN 397, Final Passage",50,0,0,0,50
1668828,1322546,2023-05-10,Senate,"Senate Environmental Resources And Energy: Reported as Committed",7,4,0,0,11
1668828,1345358,2023-06-20,Senate,"Senate Appropriations: Re-Reported as Committed",15,9,0,0,24
1668828,1346011,2023-06-21,Senate,"Senate Floor: SB 199 PN 82, Final Passage",28,22,0,0,50
1668865,1262577,2023-02-27,Senate,"Senate Environmental Resources And Energy: Reported as Committed",7,4,0,0,11
1668865,1265118,2023-03-01,Senate,"Senate Appropriations: Re-Reported as Committed",16,8,0,0,24
1668865,1268940,2023-03-06,Senate,"Senate Floor: SB 144 PN 119, 2023 A160, YAW Amendment No. A-160",50,0,0,0,50
1668865,1270338,2023-03-07,Senate,"Senate Floor: SB 144 PN 390, Final Passage",36,14,0,0,50
1668865,1467946,2024-10-01,House,"House Veterans Affairs And Emergency Preparedness: Adopt Amendment A05715",15,10,0,0,25
1668865,1467947,2024-10-01,House,"House Veterans Affairs And Emergency Preparedness: Report Bill As Amended",23,2,0,0,25
1668984,1316934,2023-05-02,Senate,"Senate Game And Fisheries: Reported as Committed",11,0,0,0,11
1668984,1347586,2023-06-26,Senate,"Senate Rules And Executive Nominations: Re-Reported as Committed",16,0,1,0,17
1668984,1348224,2023-06-28,Senate,"Senate Appropriations: Re-Reported as Committed",24,0,0,0,24
1668984,1349020,2023-06-30,Senate,"Senate Floor: SB 146 PN 120, Final Passage",50,0,0,0,50
1668984,1355456,2023-10-02,House,"House Game And Fisheries: Report Bill As Committed",25,0,0,0,25
1668984,1410307,2024-03-18,House,"House Floor: SB 146 PN 120, FINAL PASSAGE",201,0,0,1,202
1668984,1410308,2024-03-18,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1669025,1354926,2023-09-19,Senate,"Senate State Government: Reported as Committed",10,0,1,0,11
1669061,1437356,2024-05-01,Senate,"Senate Finance: Reported as Committed",10,1,0,0,11
1669084,1311200,2023-04-26,Senate,"Senate Veterans Affairs And Emergency Preparedness: Adopt Amendment A00295",11,0,0,0,11
1669084,1311201,2023-04-26,Senate,"Senate Veterans Affairs And Emergency Preparedness: Reported as Amended",11,0,0,0,11
1669121,1310748,2023-04-26,Senate,"Senate Transportation: Reported as Committed",11,2,1,0,14
1669121,1467795,2024-09-30,Senate,"Senate Floor: SB 153 PN 125, 2023 A5731, WARD, J. Amendment No. A-5731",31,17,0,2,50
1669121,1467955,2024-10-01,Senate,"Senate Floor: SB 153 PN 1916, Final Passage",34,14,0,2,50
1669140,1322563,2023-05-10,Senate,"Senate Environmental Resources And Energy: Reported as Committed",7,4,0,0,11
1669140,1345346,2023-06-20,Senate,"Senate Floor: SB 198 PN 81, 2023 A915, BARTOLOTTA Amendment No. A-0915",28,22,0,0,50
1669140,1345347,2023-06-20,Senate,"Senate Appropriations: Re-Reported as Committed",15,9,0,0,24
1669140,1346006,2023-06-21,Senate,"Senate Floor: SB 198 PN 933, Final Passage",28,22,0,0,50
1669163,1271209,2023-03-08,Senate,"Senate Intergovernmental Operations: Reported as Committed",7,4,0,0,11
1669163,1320606,2023-05-08,Senate,"Senate Appropriations: Re-Reported as Committed",15,9,0,0,24
1669163,1321488,2023-05-09,Senate,"Senate Floor: SB 190 PN 88, Final Passage",28,21,0,1,50
1669243,1356496,2023-10-25,Senate,"Senate Consumer Protection And Professional Licensure: Reported as Committed",14,0,0,0,14
1669243,1362270,2023-12-11,Senate,"Senate Appropriations: Re-Reported as Committed",24,0,0,0,24
1669243,1362357,2023-12-12,Senate,"Senate Floor: SB 142 PN 118, Final Passage",50,0,0,0,50
1669243,1468060,2024-10-02,House,"House Professional Licensure: Report Bill As Committed",25,0,0,0,25
1669243,1468488,2024-10-09,House,"House Floor: SB 142 PN 118, FINAL PASSAGE",201,1,0,1,203
1669243,1468489,2024-10-09,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1669304,1339346,2023-06-06,Senate,"Senate Judiciary: Adopt Amendment A00043",13,0,1,0,14
1669304,1339347,2023-06-06,Senate,"Senate Judiciary: Reported as Amended",13,0,1,0,14
1669402,1321020,2023-05-09,Senate,"Senate Urban Affairs And Housing: Reported as Committed",11,0,0,0,11
1669402,1340561,2023-06-07,Senate,"Senate Floor: SB 202 PN 83, Final Passage",50,0,0,0,50
1669402,1340562,2023-06-07,Senate,"Senate Appropriations: Re-Reported as Committed",24,0,0,0,24
1669402,1343371,2023-06-13,House,"House Housing And Community Development: Report Bill As Committed",21,0,0,0,21
1669402,1346902,2023-06-22,House,"House Floor: SB 202 PN 83, FINAL PASSAGE",149,53,0,1,203
1669402,1346903,2023-06-22,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1669425,1270888,2023-03-08,Senate,"Senate Intergovernmental Operations: Reported as Committed",7,4,0,0,11
1669425,1320058,2023-05-08,Senate,"Senate Appropriations: Re-Reported as Committed",15,9,0,0,24
1669425,1321296,2023-05-09,Senate,"Senate Floor: SB 188 PN 86, Final Passage",28,21,0,1,50
1669460,1265003,2023-03-01,Senate,"Senate Transportation: Reported as Committed",14,0,0,0,14
1669460,1270070,2023-03-07,Senate,"Senate Floor: SB 154 PN 126, Final Passage",50,0,0,0,50
1669517,1320728,2023-05-09,Senate,"Senate Urban Affairs And Housing: Reported as Amended A00164",11,0,0,0,11
1669517,1346867,2023-06-22,Senate,"Senate Appropriations: Re-Reported as Committed",23,1,0,0,24
1669517,1362603,2023-12-13,Senate,"Senate Floor: SB 149 PN 734, Final Passage",41,9,0,0,50
1669517,1460201,2024-06-26,House,"House Housing And Community Development: Report Bill As Committed",15,9,1,0,25
1669517,1461911,2024-07-01,House,"House Floor: SB 149 PN 734, FINAL PASSAGE",109,93,0,1,203
1669517,1461912,2024-07-01,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1669556,1357433,2023-11-13,Senate,"Senate Veterans Affairs And Emergency Preparedness: Reported as Committed",11,0,0,0,11
1669556,1452972,2024-06-03,Senate,"Senate Appropriations: Re-Reported as Committed",24,0,0,0,24
1669556,1454039,2024-06-05,Senate,"Senate Floor: SB 194 PN 79, Final Passage",50,0,0,0,50
1669597,1320976,2023-05-09,Senate,"Senate Agriculture And Rural Affairs: Reported as Committed",11,0,0,0,11
1669597,1338430,2023-06-05,Senate,"Senate Appropriations: Re-Reported as Committed",24,0,0,0,24
1669597,1339446,2023-06-06,Senate,"Senate Floor: SB 152 PN 124, Final Passage",50,0,0,0,50
1669597,1345475,2023-06-20,House,"House Agriculture And Rural Affairs: Report Bill As Committed",20,0,1,0,21
1669597,1356749,2023-10-31,House,"House Floor: SB 152 PN 124, FINAL PASSAGE",198,4,0,1,203
1669597,1356750,2023-10-31,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1669619,1265006,2023-03-01,Senate,"Senate Transportation: Reported as Committed",14,0,0,0,14
1669775,1411721,2024-03-20,Senate,"Senate Finance: Reported as Committed",11,0,0,0,11
1684224,1265038,2023-03-01,Senate,"Senate Education: Reported as Committed",10,1,0,0,11
1684224,1308390,2023-04-24,Senate,"Senate Appropriations: Re-Reported as Committed",24,0,0,0,24
1684224,1309534,2023-04-25,Senate,"Senate Floor: SB 232 PN 146, 2023 A326, BROOKS Amendment No. A-0326",49,1,0,0,50
1684224,1310785,2023-04-26,Senate,"Senate Floor: SB 232 PN 637, Final Passage",49,1,0,0,50
1684224,1467771,2024-09-30,House,"House Education: Report Bill As Committed",19,6,0,0,25
1684224,1468504,2024-10-09,House,"House Floor: SB 232 PN 637, FINAL PASSAGE",179,23,0,1,203
1684224,1468505,2024-10-09,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1685101,1270027,2023-03-07,Senate,"Senate Aging And Youth: Reported as Committed",11,0,0,0,11
1685114,1268757,2023-03-06,Senate,"Senate Local Government: Reported as Amended",8,3,0,0,11
1685114,1268758,2023-03-06,Senate,"Senate Local Government: Adopt Amendment A00140",9,2,0,0,11
1685114,1270856,2023-03-08,Senate,"Senate Floor: SB 143 PN 388, Final Passage",40,9,0,1,50
1685154,1268798,2023-03-06,Senate,"Senate Judiciary: Reported as Committed",13,1,0,0,14
1685154,1467313,2024-09-16,Senate,"Senate Appropriations: Re-Reported as Committed",22,1,1,0,24
1685154,1467338,2024-09-17,Senate,"Senate Floor: SB 170 PN 160, Final Passage",47,2,0,1,50
1685154,1468068,2024-10-02,House,"House Judiciary: Report Bill As Committed",24,1,0,0,25
1685154,1468323,2024-10-08,House,"House Floor: SB 170 PN 160, FINAL PASSAGE",194,7,0,2,203
1685154,1468324,2024-10-08,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1685169,1269995,2023-03-07,Senate,"Senate Aging And Youth: Reported as Committed",11,0,0,0,11
1685209,1346454,2023-06-22,Senate,"Senate Community, Economic And Recreational Development: Reported as Committed",13,0,1,0,14
1685209,1467318,2024-09-16,Senate,"Senate Appropriations: Re-Reported as Committed",23,0,1,0,24
1685209,1467374,2024-09-17,Senate,"Senate Floor: SB 173 PN 163, Final Passage",48,1,0,1,50
1685276,1268938,2023-03-06,Senate,"Senate Judiciary: Reported as Committed",14,0,0,0,14
1685276,1467314,2024-09-16,Senate,"Senate Appropriations: Re-Reported as Committed",23,0,1,0,24
1685276,1467340,2024-09-17,Senate,"Senate Floor: SB 169 PN 159, Final Passage",49,0,0,1,50
1685276,1468083,2024-10-02,House,"House Judiciary: Report Bill As Committed",25,0,0,0,25
1685276,1468326,2024-10-08,House,"House Floor: SB 169 PN 159, FINAL PASSAGE",201,0,0,2,203
1685276,1468327,2024-10-08,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1685287,1309426,2023-04-25,Senate,"Senate Judiciary: Reported as Amended A00301",11,3,0,0,14
1685287,1315216,2023-05-01,Senate,"Senate Appropriations: Re-Reported as Committed",18,5,1,0,24
1685287,1315599,2023-05-01,Senate,"Senate Floor: SB 165 PN 634, Final Passage",41,9,0,0,50
1685287,1339260,2023-04-25,Senate,"Senate Judiciary: Adopt Amendment A00301",9,5,0,0,14
1685901,1453171,2024-06-04,Senate,"Senate Judiciary: Reported as Amended",14,0,0,0,14
1685901,1453172,2024-06-04,Senate,"Senate Judiciary: Adopt Amendment A04641",14,0,0,0,14
1685901,1456758,2024-06-12,Senate,"Senate Floor: SB 186 PN 1678, Final Passage",48,0,0,2,50
1685901,1461001,2024-06-27,House,"House Judiciary: Report Bill As Committed",25,0,0,0,25
1685901,1462166,2024-07-02,House,"House Floor: SB 186 PN 1678, 2023 A5364",134,67,0,2,203
1685901,1462426,2024-07-03,House,"House Floor: SB 186 PN 1804, FINAL PASSAGE",144,58,0,1,203
1685901,1462427,2024-07-03,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1687908,1347658,2023-06-27,Senate,"Senate Judiciary: Reported as Amended",10,4,0,0,14
1687908,1347659,2023-06-27,Senate,"Senate Judiciary: Adopt Amendment A01493",9,5,0,0,14
1687908,1355494,2023-10-02,Senate,"Senate Floor: SB 235 PN 977, 2023 A2266, SANTARSIERO Amendment No. A-2266",49,0,0,1,50
1687908,1355495,2023-10-02,Senate,"Senate Floor: SB 235 PN 1130, Motion to Suspend Senate Rule 12",43,6,0,1,50
1687908,1355496,2023-10-02,Senate,"Senate Floor: SB 235 PN 1130, Final Passage",35,14,0,1,50
1688034,1309447,2023-04-25,Senate,"Senate State Government: Reported as Committed",11,0,0,0,11
1688069,1357531,2023-11-14,Senate,"Senate State Government: Reported as Committed",11,0,0,0,11
1688069,1375977,2024-02-05,Senate,"Senate Appropriations: Re-Reported as Committed",23,0,1,0,24
1688069,1378728,2024-02-07,Senate,"Senate Floor: SB 228 PN 197, Final Passage",49,0,0,1,50
1688069,1467913,2024-10-01,House,"House State Government: Re-report Bill As Committed",25,0,0,0,25
1688078,1316645,2023-05-02,Senate,"Senate Community, Economic And Recreational Development: Reported as Committed",14,0,0,0,14
1688078,1320278,2023-05-08,Senate,"Senate Floor: SB 248 PN 212, Final Passage",50,0,0,0,50
1688078,1320279,2023-05-08,Senate,"Senate Appropriations: Re-Reported as Committed",24,0,0,0,24
1688120,1316141,2023-05-02,Senate,"Senate Health And Human Services: Reported as Committed",11,0,0,0,11
1688132,1357441,2023-11-13,Senate,"Senate Intergovernmental Operations: Reported as Amended",7,4,0,0,11
1688132,1357442,2023-11-13,Senate,"Senate Intergovernmental Operations: Adopt Amendment A02903",7,4,0,0,11
1688146,1321006,2023-05-09,Senate,"Senate Agriculture And Rural Affairs: Reported as Committed",11,0,0,0,11
1688146,1339358,2023-06-05,Senate,"Senate Floor: SB 277 PN 241, Final Passage",49,0,0,1,50
1688146,1345473,2023-06-20,House,"House Agriculture And Rural Affairs: Report Bill As Committed",20,0,1,0,21
1688146,1440171,2024-05-07,House,"House Floor: SB 277 PN 241, 2023 A4260",156,45,0,1,202
1688146,1440920,2024-05-08,House,"House Floor: SB 277 PN 1589, FINAL PASSAGE",162,38,0,2,202
1688146,1440921,2024-05-08,House,"House Appropriations: Re-report Bill As Committed",37,0,0,0,37
1688146,1452774,2024-06-03,Senate,"Senate Floor: SB 277 PN 1589, Concur in House Amendments",49,1,0,0,50
1688146,1452775,2024-06-03,Senate,"Senate Rules And Executive Nominations: Re-Reported as Committed",17,0,0,0,17
1688156,1262135,2023-02-27,Senate,"Senate Environmental Resources And Energy: Reported as Committed",7,4,0,0,11
1688156,1264948,2023-03-01,Senate,"Senate Floor: SB 254 PN 217, Final Passage",29,20,0,1,50
1688189,1310818,2023-04-26,Senate,"Senate Health And Human Services: Reported as Committed",7,4,0,0,11
1688189,1317218,2023-05-02,Senate,"Senate Floor: SB 245 PN 210, 2023 A-0441, Motion to Table Hughes Amendment A-0441",28,22,0,0,50
1688189,1317219,2023-05-02,Senate,"Senate Appropriations: Re-Reported as Committed",15,9,0,0,24
1688189,1317471,2023-05-03,Senate,"Senate Floor: SB 245 PN 210, Final Passage",28,21,0,1,50
